Campaign_Goal,Target_Audience,Channel_Used,Customer_Segment,Location,Language,Duration,Conversion_Rate,Acquisition_Cost,ROI,Clicks,Impressions,Engagement_Score,Company
Product Launch,Students 18-24,Facebook,Fitness,Bogota,English,45 Days,0.079,$412,1.1,424,15727,5.65,Andes Digital
Customer Retention,Men 25-34,Google Ads,Food,Mexico City,Spanish,10 Days,0.085,$506,1.12,478,17106,6.2,BlueRoute
Brand Awareness,Parents 30-45,YouTube,Technology,Santiago,English,15 Days,0.091,$450,1.3,536,18485,6.75,UrbanPulse
Increase Sales,Women 18-24,TikTok,Fashion,New York,Spanish,30 Days,0.037,$469,0.84,595,19864,7.7,NovaMarket
Lead Generation,Men 35-44,Instagram,Beauty,Los Angeles,English,7 Days,0.031,$488,0.89,658,21243,8.25,Altura Media
Product Launch,Professionals 25-45,Email,Travel,Chicago,Spanish,14 Days,0.037,$507,0.95,723,22622,8.4,BrightWave
Customer Retention,Women 25-34,LinkedIn,Finance,Quito,English,21 Days,0.043,$601,0.98,792,24001,8.95,Pixel Norte
Brand Awareness,Men 45-60,Facebook,Education,Miami,Spanish,45 Days,0.049,$545,0.6,862,25380,4.0,Mercurio Labs
Increase Sales,Students 18-24,Google Ads,Fitness,Austin,English,10 Days,0.067,$639,0.67,481,26759,4.55,Andes Digital
Lead Generation,Men 25-34,YouTube,Food,Lima,Spanish,15 Days,0.061,$583,0.8,534,28138,5.1,BlueRoute
Product Launch,Parents 30-45,TikTok,Technology,Bogota,English,30 Days,0.067,$602,0.94,590,29517,6.05,UrbanPulse
Customer Retention,Women 18-24,Instagram,Fashion,Mexico City,Spanish,7 Days,0.073,$621,1.04,648,30896,6.6,NovaMarket
Brand Awareness,Men 35-44,Email,Beauty,Santiago,English,14 Days,0.079,$640,0.74,710,32275,6.75,Altura Media
Increase Sales,Professionals 25-45,LinkedIn,Travel,New York,Spanish,21 Days,0.097,$734,0.81,774,33654,7.3,BrightWave
Lead Generation,Women 25-34,Facebook,Finance,Los Angeles,English,45 Days,0.091,$678,0.94,840,35033,7.85,Pixel Norte
Product Launch,Men 45-60,Google Ads,Education,Chicago,Spanish,10 Days,0.025,$772,0.68,910,36412,8.4,Mercurio Labs
Customer Retention,Students 18-24,YouTube,Fitness,Quito,English,15 Days,0.031,$96,1.47,982,37791,8.95,Andes Digital
Brand Awareness,Men 25-34,TikTok,Food,Miami,Spanish,30 Days,0.037,$115,1.06,1057,39170,4.4,BlueRoute
Increase Sales,Parents 30-45,Instagram,Technology,Austin,English,7 Days,0.055,$134,1.21,1135,40549,4.95,UrbanPulse
Lead Generation,Women 18-24,Email,Fashion,Lima,Spanish,14 Days,0.049,$153,1.22,1215,41928,5.1,NovaMarket
Product Launch,Men 35-44,LinkedIn,Beauty,Bogota,English,21 Days,0.055,$247,1.25,1299,43307,5.65,Altura Media
Customer Retention,Professionals 25-45,Facebook,Travel,Mexico City,Spanish,45 Days,0.061,$191,1.06,1385,44686,6.2,BrightWave
Brand Awareness,Women 25-34,Google Ads,Finance,Santiago,English,10 Days,0.067,$285,1.09,1474,46065,6.75,Pixel Norte
Increase Sales,Men 45-60,YouTube,Education,New York,Spanish,15 Days,0.085,$229,1.31,1565,47444,7.3,Mercurio Labs
Lead Generation,Students 18-24,TikTok,Fitness,Los Angeles,English,30 Days,0.079,$248,1.4,1659,48823,8.25,Andes Digital
Product Launch,Men 25-34,Instagram,Food,Chicago,Spanish,7 Days,0.085,$267,1.5,903,50202,8.8,BlueRoute
Customer Retention,Parents 30-45,Email,Technology,Quito,English,14 Days,0.091,$286,1.56,980,51581,8.95,UrbanPulse
Brand Awareness,Women 18-24,LinkedIn,Fashion,Miami,Spanish,21 Days,0.025,$380,0.75,1059,52960,4.0,NovaMarket
Increase Sales,Men 35-44,Facebook,Beauty,Austin,English,45 Days,0.043,$324,0.97,1141,54339,4.55,Altura Media
Lead Generation,Professionals 25-45,Google Ads,Travel,Lima,Spanish,10 Days,0.037,$418,0.95,1225,55718,5.1,BrightWave
Product Launch,Women 25-34,YouTube,Finance,Bogota,English,15 Days,0.043,$362,0.77,1313,57097,5.65,Pixel Norte
Customer Retention,Men 45-60,TikTok,Education,Mexico City,Spanish,30 Days,0.049,$381,0.9,1403,58476,6.6,Mercurio Labs
Brand Awareness,Students 18-24,Instagram,Fitness,Santiago,English,7 Days,0.055,$400,1.0,1496,59855,7.15,Andes Digital
Increase Sales,Men 25-34,Email,Food,New York,Spanish,14 Days,0.073,$419,1.11,1592,61234,7.3,BlueRoute
Lead Generation,Parents 30-45,LinkedIn,Technology,Los Angeles,English,21 Days,0.067,$513,1.09,1690,62613,7.85,UrbanPulse
Product Launch,Women 18-24,Facebook,Fashion,Chicago,Spanish,45 Days,0.073,$457,1.27,1791,63992,8.4,NovaMarket
Customer Retention,Men 35-44,Google Ads,Beauty,Quito,English,10 Days,0.079,$551,1.29,1895,65371,8.95,Altura Media
Brand Awareness,Professionals 25-45,YouTube,Travel,Miami,Spanish,15 Days,0.085,$495,0.92,2002,66750,4.0,BrightWave
Increase Sales,Women 25-34,TikTok,Finance,Austin,English,30 Days,0.103,$514,1.1,2111,68129,4.95,Pixel Norte
Lead Generation,Men 45-60,Instagram,Education,Lima,Spanish,7 Days,0.025,$533,0.51,2224,69508,5.5,Mercurio Labs
Product Launch,Students 18-24,Email,Fitness,Bogota,English,14 Days,0.031,$552,0.57,2339,70887,5.65,Andes Digital
Customer Retention,Men 25-34,LinkedIn,Food,Mexico City,Spanish,21 Days,0.037,$646,0.59,2457,72266,6.2,BlueRoute
Brand Awareness,Parents 30-45,Facebook,Technology,Santiago,English,45 Days,0.043,$590,0.77,1325,73645,6.75,UrbanPulse
Increase Sales,Women 18-24,Google Ads,Fashion,New York,Spanish,10 Days,0.061,$684,0.84,1425,75024,7.3,NovaMarket
Lead Generation,Men 35-44,YouTube,Beauty,Los Angeles,English,15 Days,0.055,$628,0.97,1528,76403,7.85,Altura Media
Product Launch,Professionals 25-45,TikTok,Travel,Chicago,Spanish,30 Days,0.061,$647,1.11,1633,77782,8.8,BrightWave
Customer Retention,Women 25-34,Instagram,Finance,Quito,English,7 Days,0.067,$666,1.21,1741,79161,9.35,Pixel Norte
Brand Awareness,Men 45-60,Email,Education,Miami,Spanish,14 Days,0.073,$685,0.72,1852,80540,4.0,Mercurio Labs
Increase Sales,Students 18-24,LinkedIn,Fitness,Austin,English,21 Days,0.091,$779,0.43,1966,81919,4.55,Andes Digital
Lead Generation,Men 25-34,Facebook,Food,Lima,Spanish,45 Days,0.085,$103,1.18,2082,83298,5.1,BlueRoute
Product Launch,Parents 30-45,Google Ads,Technology,Bogota,English,10 Days,0.091,$197,1.2,2201,84677,5.65,UrbanPulse
Customer Retention,Women 18-24,YouTube,Fashion,Mexico City,Spanish,15 Days,0.025,$141,1.09,2323,86056,6.2,NovaMarket
Brand Awareness,Men 35-44,TikTok,Beauty,Santiago,English,30 Days,0.031,$160,1.23,2448,87435,7.15,Altura Media
Increase Sales,Professionals 25-45,Instagram,Travel,New York,Spanish,7 Days,0.049,$179,1.38,2575,88814,7.7,BrightWave
Lead Generation,Women 25-34,Email,Finance,Los Angeles,English,14 Days,0.043,$198,1.39,2705,90193,7.85,Pixel Norte
Product Launch,Men 45-60,LinkedIn,Education,Chicago,Spanish,21 Days,0.049,$292,1.41,2838,91572,8.4,Mercurio Labs
Customer Retention,Students 18-24,Facebook,Fitness,Quito,English,45 Days,0.055,$236,1.59,2974,92951,8.95,Andes Digital
Brand Awareness,Men 25-34,Google Ads,Food,Miami,Spanish,10 Days,0.061,$330,0.7,3112,94330,4.0,BlueRoute
Increase Sales,Parents 30-45,YouTube,Technology,Austin,English,15 Days,0.079,$274,0.93,3254,95709,4.55,UrbanPulse
Lead Generation,Women 18-24,TikTok,Fashion,Lima,Spanish,30 Days,0.073,$293,1.02,1747,97088,5.5,NovaMarket
Product Launch,Men 35-44,Instagram,Beauty,Bogota,English,7 Days,0.079,$312,1.12,1870,98467,6.05,Altura Media
Customer Retention,Professionals 25-45,Email,Travel,Mexico City,Spanish,14 Days,0.085,$331,1.18,1996,99846,6.2,BrightWave
Brand Awareness,Women 25-34,LinkedIn,Finance,Santiago,English,21 Days,0.091,$425,1.2,2125,101225,6.75,Pixel Norte
Increase Sales,Men 45-60,Facebook,Education,New York,Spanish,45 Days,0.037,$369,1.14,2257,102604,7.3,Mercurio Labs
Lead Generation,Students 18-24,Google Ads,Fitness,Los Angeles,English,10 Days,0.031,$463,1.12,2391,103983,7.85,Andes Digital
Product Launch,Men 25-34,YouTube,Food,Chicago,Spanish,15 Days,0.037,$407,1.29,2528,105362,8.4,BlueRoute
Customer Retention,Parents 30-45,TikTok,Technology,Quito,English,30 Days,0.043,$426,1.07,2668,106741,9.35,UrbanPulse
Brand Awareness,Women 18-24,Instagram,Fashion,Miami,Spanish,7 Days,0.049,$445,0.62,2811,108120,4.4,NovaMarket
Increase Sales,Men 35-44,Email,Beauty,Austin,English,14 Days,0.067,$464,0.73,2956,109499,4.55,Altura Media
Lead Generation,Professionals 25-45,LinkedIn,Travel,Lima,Spanish,21 Days,0.061,$558,0.71,3104,110878,5.1,BrightWave
Product Launch,Women 25-34,Facebook,Finance,Bogota,English,45 Days,0.067,$502,0.88,3255,112257,5.65,Pixel Norte
Customer Retention,Men 45-60,Google Ads,Education,Mexico City,Spanish,10 Days,0.073,$596,0.91,3409,113636,6.2,Mercurio Labs
Brand Awareness,Students 18-24,YouTube,Fitness,Santiago,English,15 Days,0.079,$540,1.08,3565,115015,6.75,Andes Digital
Increase Sales,Men 25-34,TikTok,Food,New York,Spanish,30 Days,0.097,$559,1.27,3724,116394,7.7,BlueRoute
Lead Generation,Parents 30-45,Instagram,Technology,Los Angeles,English,7 Days,0.091,$578,1.32,3886,117773,8.25,UrbanPulse
Product Launch,Women 18-24,Email,Fashion,Chicago,Spanish,14 Days,0.025,$597,0.73,4051,119152,8.4,NovaMarket
Customer Retention,Men 35-44,LinkedIn,Beauty,Quito,English,21 Days,0.031,$691,0.76,2169,120531,8.95,Altura Media
Brand Awareness,Professionals 25-45,Facebook,Travel,Miami,Spanish,45 Days,0.037,$635,0.38,2316,121910,4.0,BrightWave
Increase Sales,Women 25-34,Google Ads,Finance,Austin,English,10 Days,0.055,$729,0.46,2465,123289,4.55,Pixel Norte
Lead Generation,Men 45-60,YouTube,Education,Lima,Spanish,15 Days,0.049,$673,0.58,2618,124668,5.1,Mercurio Labs
Product Launch,Students 18-24,TikTok,Fitness,Bogota,English,30 Days,0.055,$692,0.72,2773,126047,6.05,Andes Digital
Customer Retention,Men 25-34,Instagram,Food,Mexico City,Spanish,7 Days,0.061,$91,1.44,2930,127426,6.6,BlueRoute
Brand Awareness,Parents 30-45,Email,Technology,Santiago,English,14 Days,0.067,$110,1.5,3091,128805,6.75,UrbanPulse
Increase Sales,Women 18-24,LinkedIn,Fashion,New York,Spanish,21 Days,0.085,$204,1.58,3254,130184,7.3,NovaMarket
Lead Generation,Men 35-44,Facebook,Beauty,Los Angeles,English,45 Days,0.079,$148,1.34,3420,131563,7.85,Altura Media
Product Launch,Professionals 25-45,Google Ads,Travel,Chicago,Spanish,10 Days,0.085,$242,1.37,3589,132942,8.4,BrightWave
Customer Retention,Women 25-34,YouTube,Finance,Quito,English,15 Days,0.091,$186,1.54,3760,134321,8.95,Pixel Norte
